order_id,order_date,required_date,order_status,customer_name,city,state,product_name,category,warehouse_name,ordered_qty,dispatched_qty,pending_qty,fill_rate,delay_days,return_qty
2051,02-Mar-24,08-Mar-24,Completed,Apex Traders,Chennai,Tamil Nadu,Industrial Pump A,Pumps,Chennai DC,40,40,0,100,0,0
2051,02-Mar-24,08-Mar-24,Completed,Apex Traders,Chennai,Tamil Nadu,Hydraulic Valve X,Valves,Chennai DC,20,20,0,100,0,0
2052,04-Mar-24,11-Mar-24,Completed,Metro Distributors,Bangalore,Karnataka,Control Panel Basic,Panels,Bangalore Hub,15,15,0,100,0,0
2054,10-Mar-24,18-Mar-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Small,Gears,Delhi North,12,12,0,100,0,0
2054,10-Mar-24,18-Mar-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Large,Gears,Delhi North,30,30,0,100,0,0
2056,02-Apr-24,09-Apr-24,Completed,Prime Stores,Chennai,Tamil Nadu,Industrial Pump A,Pumps,Chennai DC,45,45,0,100,0,0
2056,02-Apr-24,09-Apr-24,Completed,Prime Stores,Chennai,Tamil Nadu,Control Panel Basic,Panels,Chennai DC,20,20,0,100,0,0
2058,08-Apr-24,16-Apr-24,Completed,Value Wholesale,Mumbai,Maharashtra,Gear Assembly Small,Gears,Mumbai Central,14,14,0,100,0,0
2059,12-Apr-24,20-Apr-24,Completed,Capital Retail,Delhi,Delhi,Hydraulic Valve Y,Valves,Delhi North,15,15,0,100,0,0
2059,12-Apr-24,20-Apr-24,Completed,Capital Retail,Delhi,Delhi,Gear Assembly Large,Gears,Delhi North,32,32,0,100,0,0
2060,18-Apr-24,26-Apr-24,Completed,Deccan Traders,Hyderabad,Telangana,Industrial Motor 5HP,Motors,Hyderabad Hub,11,11,0,100,0,0
2060,18-Apr-24,26-Apr-24,Completed,Deccan Traders,Hyderabad,Telangana,Industrial Motor 10HP,Motors,Hyderabad Hub,18,18,0,100,0,0
2061,03-May-24,10-May-24,Completed,Apex Traders,Chennai,Tamil Nadu,Industrial Pump A,Pumps,Chennai DC,42,42,0,100,0,0
2061,03-May-24,10-May-24,Completed,Apex Traders,Chennai,Tamil Nadu,Hydraulic Valve Y,Valves,Chennai DC,18,18,0,100,0,0
2062,07-May-24,15-May-24,Completed,Metro Distributors,Bangalore,Karnataka,Control Panel Basic,Panels,Bangalore Hub,12,12,0,100,0,0
2064,15-May-24,23-May-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Small,Gears,Delhi North,10,10,0,100,0,0
2064,15-May-24,23-May-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Large,Gears,Delhi North,34,34,0,100,0,0
2066,04-Jun-24,12-Jun-24,Completed,Prime Stores,Chennai,Tamil Nadu,Industrial Pump A,Pumps,Chennai DC,48,48,0,100,0,0
2066,04-Jun-24,12-Jun-24,Completed,Prime Stores,Chennai,Tamil Nadu,Control Panel Basic,Panels,Chennai DC,22,22,0,100,0,0
2068,13-Jun-24,21-Jun-24,Completed,Value Wholesale,Mumbai,Maharashtra,Hydraulic Valve X,Valves,Mumbai Central,28,28,0,100,0,0
2068,13-Jun-24,21-Jun-24,Completed,Value Wholesale,Mumbai,Maharashtra,Gear Assembly Small,Gears,Mumbai Central,16,16,0,100,0,0
2069,18-Jun-24,26-Jun-24,Completed,Capital Retail,Delhi,Delhi,Hydraulic Valve Y,Valves,Delhi North,14,14,0,100,0,0
2069,18-Jun-24,26-Jun-24,Completed,Capital Retail,Delhi,Delhi,Gear Assembly Large,Gears,Delhi North,36,36,0,100,0,0
2070,22-Jun-24,30-Jun-24,Completed,Deccan Traders,Hyderabad,Telangana,Industrial Motor 5HP,Motors,Hyderabad Hub,12,12,0,100,0,0
2070,22-Jun-24,30-Jun-24,Completed,Deccan Traders,Hyderabad,Telangana,Industrial Motor 10HP,Motors,Hyderabad Hub,20,20,0,100,0,0
2071,03-Jul-24,11-Jul-24,Completed,Apex Traders,Chennai,Tamil Nadu,Hydraulic Valve X,Valves,Chennai DC,24,24,0,100,0,0
2072,07-Jul-24,15-Jul-24,Completed,Metro Distributors,Bangalore,Karnataka,Industrial Pump B,Pumps,Bangalore Hub,32,32,0,100,0,0
2072,07-Jul-24,15-Jul-24,Completed,Metro Distributors,Bangalore,Karnataka,Control Panel Basic,Panels,Bangalore Hub,14,14,0,100,0,0
2074,16-Jul-24,24-Jul-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Small,Gears,Delhi North,11,11,0,100,0,0
2074,16-Jul-24,24-Jul-24,Completed,City Mart,Delhi,Delhi,Gear Assembly Large,Gears,Delhi North,35,35,0,100,0,0
2075,20-Jul-24,28-Jul-24,Completed,Sri Enterprises,Hyderabad,Telangana,Industrial Motor 5HP,Motors,Hyderabad Hub,13,13,0,100,0,0
2075,20-Jul-24,28-Jul-24,Completed,Sri Enterprises,Hyderabad,Telangana,Industrial Motor 10HP,Motors,Hyderabad Hub,18,18,0,100,0,0
2076,05-Aug-24,13-Aug-24,Completed,Prime Stores,Chennai,Tamil Nadu,Industrial Pump A,Pumps,Chennai DC,46,46,0,100,0,0
2076,05-Aug-24,13-Aug-24,Completed,Prime Stores,Chennai,Tamil Nadu,Control Panel Basic,Panels,Chennai DC,21,21,0,100,0,0
